date,clock,stadium,class,attendance,links,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
26/12/2020,3:00pm,Villa Park,h,0,https://www.skysports.com/football/aston-villa-vs-crystal-palace/stats/428978,0.6175449859163921,2.9675002476997134,-1.6310895614044243,0.0677949704274976,3.957591169372868,2.523591095434708,-0.33449204367022783,-0.8575324023647346,-0.3471093653705079,-0.12884162125639906,2.657458680513263,0.847466533877152,-2.4428461627983116,-0.9789685897352014,-0.7699150969503702,2.751528652638551,-0.7015308978544376,0.24878152355305475,0.051675348490740916,0.1432215622956523,-1.1837338271781357,0.8343736757178943,-0.23174277310868044,0.06286000999822437
26/12/2020,12:30pm,The King Power Stadium,d,0,https://www.skysports.com/football/leicester-city-vs-manchester-united/stats/428981,-0.4372754500547534,-1.004748611239519,1.2363786052332746,1.2255427581027833,-1.0881656133768347,2.2196769422328355,0.3415615276794014,1.2114280235577073,0.07445689594640177,1.1039246782766723,-0.4418351472522332,0.49094535340918655,0.1594778722340257,0.893666532984282,-0.6024188599788923,-1.4590266303581088,-0.08513793339896504,1.1712269378026465,0.6886230446257134,0.8136081967335032,-0.7703784621843248,-0.03219457753670569,-0.43710278916114886,0.037942415212927835
21/12/2020,8:00pm,Stamford Bridge,h,0,https://www.skysports.com/football/chelsea-vs-west-ham-united/stats/428969,1.8740213963901171,-0.30257764439049933,-2.4693042621708656,-2.451648189218876,-1.083615212130686,0.6326563945972413,0.9960096219784914,-0.03140842891622746,0.8483942633219095,-1.4912362928375305,1.5508993552190262,0.9775129371098524,0.9292036033833758,0.7536155655251477,-0.12492253631737205,-0.6962152647658815,0.7546537558744897,1.2860333244435047,-0.9349999331416655,0.31169172167625714,-0.9945638114291049,0.3244380266122262,0.12198878896348393,0.8971071268186712
21/12/2020,5:30pm,Turf Moor,h,0,https://www.skysports.com/football/burnley-vs-wolverhampton-wanderers/stats/428968,-2.661003918800997,-0.2200594985475815,-2.482402201005737,0.5975773552597418,1.024189622076536,-0.6546838943572518,0.8863875180140879,-0.015912165872488705,-0.17837893847431674,0.44589275225259356,-0.5040580955882262,0.7174233824164885,-1.0479191612748195,0.4578697034660265,-0.18803672974839925,-1.2331848825960587,0.34448251130241375,-0.29207917983649906,-0.9164945077908929,1.2842196068982583,0.3917204639033863,-0.25877967758203074,-0.01639259204744118,-0.8596025720027738
20/12/2020,7:15pm,The Hawthorns,a,0,https://www.skysports.com/football/west-bromwich-albion-vs-aston-villa/stats/428976,-6.640325422293659,-0.14582903489708868,1.6670610873841305,0.08780973917212984,0.2019829216064948,1.6925801324767458,0.7733902415263878,-0.6364703267099248,0.37928797622279753,0.40107467048953754,1.8137507942685005,2.0186087939567408,-0.4646933000154164,0.697850938325667,-0.9240225266575806,2.2674981349532475,1.287650442104501,-0.28748693490065136,-0.4994728180128882,-1.1122760452367049,-1.4955027731928343,0.2832902520576614,0.1134270077085971,-0.2942556175952285
20/12/2020,4:30pm,Old Trafford,h,0,https://www.skysports.com/football/manchester-united-vs-leeds-united/stats/428972,1.5122881435002467,5.93412505283483,-1.2952377716144572,-3.8928652548476825,1.2638566947495926,-0.39231055171735285,-0.1218100754481203,0.07343763672435268,-0.6439369223474207,0.1698918679780041,0.99529764590499,0.07544455620937425,1.251956052167886,1.061344132170826,0.9508957920377396,-1.963100543295334,0.5161494919369535,-1.4971632693425616,-0.002702239752361903,-0.07158015585541223,0.5990625561757139,-0.09964585400745793,-0.6031018484484866,1.0815057921255
20/12/2020,2:15pm,8 Stadium,a,0,https://www.skysports.com/football/tottenham-hotspur-vs-leicester-city/stats/428975,-1.1530285875072444,-0.871973189105279,-0.26817230551780846,1.5248226541817471,0.9770684260899931,0.20473545559809211,0.9252006859640841,-0.8600814764158242,-0.6308720713682872,-0.6497071391449473,1.0171115015394405,-0.012483465913275807,1.1576615400856827,0.38355716640657694,0.7358026012695862,-0.3670347821440694,1.2272528018918811,0.888990862443069,0.4857895828995548,0.8483920271414568,0.29360714262187654,-1.0431774398991254,1.6977942018580192,0.1379023611111795
20/12/2020,12:00pm,Amex Stadium,d,0,https://www.skysports.com/football/brighton-and-hove-albion-vs-sheffield-united/stats/428967,5.0531275527928825,-1.2685497951968,2.0316855164711147,0.5444393709959178,0.8340986338265359,-0.11762902252639766,0.943602796102608,-1.6953115392229123,1.2952701148397048,-0.741540263227305,0.08139891131858398,0.22547036184063818,-1.146725975422879,1.1777265331392113,3.623764933843793,0.80313250864533,-2.374342808522303,-0.24860622603382865,0.9063861886878636,-1.8860439323484421,-0.643569847851502,0.09212736510217297,0.20210668878216528,1.0897856689681549
19/12/2020,8:00pm,"St James' Park, Newcastle",d,0,https://www.skysports.com/football/newcastle-united-vs-fulham/stats/428973,-0.4332767763424182,0.05287828797090131,-1.005660771642187,0.8383899437920878,0.3415331720214115,0.9073191520151105,-0.43148206588267723,-2.0454185055479743,1.375490051397021,2.026224144351455,-3.211796481341515,0.34439362951275637,0.17797683025458036,0.5568270286551084,1.7168463322892196,1.2178265914705153,-0.07773045384207065,0.49550124994172895,1.1288376341299704,-0.1924929386673457,1.3077409216750433,0.6474378810999188,-1.0168782836254413,0.41149385245218717
19/12/2020,5:30pm,Goodison Park,h,0,https://www.skysports.com/football/everton-vs-arsenal/stats/428971,-1.4496244238858895,-0.920607208090711,-1.955834098077245,0.5969056850221012,-1.1575951821312898,-0.35516003635186416,-0.7810647509057765,-0.5462738201230436,0.8054117310423837,0.27134578582334756,0.22627388737333662,-0.5012407266224259,-0.26230156612737754,-1.4917132727284672,0.6750594238318787,-0.7390856776202455,-0.677096594531156,0.4517892425047653,-0.4948002593052024,-0.1160560968169717,-1.5833448635575498,0.12348175452655655,0.5807701453489826,-0.978304492862468
