date,clock,stadium,class,attendance,Home Team,Goals Home,Away Team,Away Goals,home_possessions,away_possessions,home_shots,away_shots,home_on,away_on,home_off,away_off,home_blocked,away_blocked,home_pass,away_pass,home_chances,away_chances,home_corners,away_corners,home_offside,away_offside,home_tackles,away_tackles,home_duels,away_duels,home_saves,away_saves,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,links
22nd April 2023,3:00pm,Gtech Community Stadium,d,"17,098",9,1,7,1,42.5,57.5,16,14,5,2,6,11,5,1,68.2,78.9,3,3,8,4,6,3,37.5,33.3,58.1,41.9,1,4,12,8,3,2,0,0,https://www.skysports.com/football/brentford-vs-aston-villa/464947
22nd April 2023,3:00pm,Selhurst Park,d,"25,202",11,0,17,0,56.9,43.1,12,10,2,5,5,3,5,2,74.6,67.3,0,0,8,1,1,3,73.3,64.3,41.9,58.1,5,2,12,14,1,1,0,1,https://www.skysports.com/football/crystal-palace-vs-everton/464949
22nd April 2023,3:00pm,The King Power Stadium,h,"32,053",18,2,13,1,41.8,58.2,15,16,8,3,4,7,3,6,74.2,81.7,1,0,1,7,1,3,54.5,66.7,55.3,44.7,2,5,17,16,1,3,0,0,https://www.skysports.com/football/leicester-city-vs-wolverhampton-wanderers/464951
22nd April 2023,3:00pm,Anfield,h,"53,325",5,3,16,2,81.1,18.9,18,11,6,5,7,5,5,1,87.7,52.7,5,1,9,3,2,3,57.1,73.3,57.6,42.4,3,2,9,12,0,1,0,0,https://www.skysports.com/football/liverpool-vs-nottingham-forest/464952
21st April 2023,8:00pm,Emirates Stadium,d,"60,175",2,3,20,3,74.2,25.8,25,8,6,6,11,1,8,1,86.1,64.6,2,2,7,2,1,2,58.8,68.2,57.7,42.3,3,2,10,14,1,5,0,0,https://www.skysports.com/football/arsenal-vs-southampton/464945
17th April 2023,8:00pm,Elland Road,a,"36,657",19,1,5,6,26.4,73.6,13,13,3,7,7,4,3,2,68.9,89.1,1,4,4,2,1,2,53.8,47.6,52.6,47.4,1,2,6,12,0,1,0,0,https://www.skysports.com/football/leeds-united-vs-liverpool/464938
16th April 2023,2:00pm,London Stadium,d,"62,475",14,2,2,2,28.5,71.5,16,11,3,5,6,4,7,2,69,87,2,2,7,2,4,1,47.1,69.2,54.8,45.2,3,1,11,8,1,2,0,0,https://www.skysports.com/football/west-ham-united-vs-arsenal/464943
16th April 2023,4:30pm,The City Ground,a,"29,435",16,0,3,2,31.8,68.2,6,22,0,8,4,9,2,5,65.1,82.9,2,4,4,9,1,3,55,83.3,46.4,53.6,5,0,9,9,2,2,0,0,https://www.skysports.com/football/nottingham-forest-vs-manchester-united/464940
15th April 2023,12:30p,Villa Park,h,"42,055",7,3,4,0,52,48,16,8,6,2,6,3,4,3,78.2,78.2,3,1,7,2,1,4,61.1,61.1,42.1,57.9,2,3,13,15,1,1,0,0,https://www.skysports.com/football/aston-villa-vs-newcastle-united/464935
15th April 2023,3:00pm,Stamford Bridge,a,"40,126",12,1,6,2,42.6,57.4,8,26,2,10,5,10,1,6,81.4,85.6,0,1,2,8,1,1,72.2,54.2,52.9,47.1,9,1,11,11,2,2,0,0,https://www.skysports.com/football/chelsea-vs-brighton-and-hove-albion/464936
15th April 2023,3:00pm,Goodison Park,a,"39,241",17,1,10,3,46.5,53.5,15,21,7,7,6,9,2,5,74,75.2,3,2,4,8,1,0,71.4,64.7,50,50,4,6,10,6,3,2,0,0,https://www.skysports.com/football/everton-vs-fulham/464937
15th April 2023,3:00pm,St. Mary's Stadium,a,"30,309",20,0,11,2,58.2,41.8,11,10,4,2,4,4,3,4,84.2,75.7,1,0,6,2,3,1,46.7,77.3,58.8,41.2,0,4,6,13,3,1,0,0,https://www.skysports.com/football/southampton-vs-crystal-palace/464941
15th April 2023,3:00pm,Tottenham Hotspur Stadium,a,"61,369",8,2,15,3,57.4,42.6,24,9,8,6,8,2,8,1,81.4,76.3,3,2,8,1,1,1,64.7,70.6,67.7,32.3,3,6,8,9,1,3,0,0,https://www.skysports.com/football/tottenham-hotspur-vs-bournemouth/464942
15th April 2023,3:00pm,Molineux,h,"30,769",13,2,9,0,50.6,49.4,11,10,9,3,0,3,2,4,79.5,80.7,0,0,5,2,0,1,52.4,47.8,35.5,64.5,3,7,12,8,1,1,0,0,https://www.skysports.com/football/wolverhampton-wanderers-vs-brentford/464944
15th April 2023,5:30pm,Etihad Stadium,h,"53,329",1,3,18,1,70.6,29.4,12,11,4,4,5,4,3,3,92.2,80.1,1,1,6,2,0,3,54.5,70,31.8,68.2,3,1,8,8,1,1,0,0,https://www.skysports.com/football/manchester-city-vs-leicester-city/464939
9th April 2023,2:00pm,Elland Road,a,"36,427",19,1,11,5,48,52,11,16,7,8,4,4,0,4,75.7,74.5,1,5,2,4,2,2,55.9,72.7,41,59,2,7,11,8,3,1,0,0,https://www.skysports.com/football/leeds-united-vs-crystal-palace/464928
9th April 2023,4:30pm,Anfield,d,"53,267",5,2,2,2,59,41,21,9,6,5,10,2,5,2,82.3,76.6,6,2,5,4,2,2,54.5,52.4,51.9,48.1,3,4,11,11,4,4,0,0,https://www.skysports.com/football/liverpool-vs-arsenal/464930
8th April 2023,12:30p,Old Trafford,h,"73,509",3,2,17,0,63.8,36.2,29,15,11,1,10,6,8,8,87.1,71.3,5,1,10,4,3,2,60,66.7,50,50,1,9,10,9,0,0,0,0,https://www.skysports.com/football/manchester-united-vs-everton/464931
8th April 2023,3:00pm,Villa Park,h,"42,076",7,2,16,0,65.3,34.7,8,6,3,2,4,1,1,3,85.7,65.6,1,0,1,8,1,7,66.7,64.7,44,56,2,1,7,17,3,4,0,0,https://www.skysports.com/football/aston-villa-vs-nottingham-forest/464925
8th April 2023,3:00pm,Gtech Community Stadium,a,"17,107",9,1,4,2,41,59,12,10,6,4,4,4,2,2,75.5,82.6,0,1,6,5,2,2,87.5,52.6,53.3,46.7,3,5,10,15,0,2,0,0,https://www.skysports.com/football/brentford-vs-newcastle-united/464926
8th April 2023,3:00pm,Craven Cottage,a,"24,491",10,0,14,1,76.6,23.4,16,9,3,5,2,4,11,0,88.2,62.2,1,1,11,4,0,2,52.9,35.3,38.5,61.5,5,3,10,12,1,1,0,0,https://www.skysports.com/football/fulham-vs-west-ham-united/464927
8th April 2023,3:00pm,The King Power Stadium,a,"32,094",18,0,15,1,50.8,49.2,14,19,4,7,8,2,2,10,75.4,78.7,1,1,6,6,3,2,42.1,62.5,47.4,52.6,6,4,10,13,0,3,0,0,https://www.skysports.com/football/leicester-city-vs-bournemouth/464929
8th April 2023,3:00pm,Tottenham Hotspur Stadium,h,"61,405",8,2,6,1,35.2,64.8,9,17,3,4,4,5,2,8,77.3,87.1,0,2,3,7,2,1,58.8,44.4,33.3,66.7,3,1,15,15,3,1,0,0,https://www.skysports.com/football/tottenham-hotspur-vs-brighton-and-hove-albion/464933
8th April 2023,3:00pm,Molineux,h,"31,614",13,1,12,0,37.6,62.4,9,13,4,1,3,4,2,8,74.5,83.6,0,0,8,8,2,1,59.1,55.6,36,64,1,3,14,10,2,5,0,0,https://www.skysports.com/football/wolverhampton-wanderers-vs-chelsea/464934
