vp(m/s),vs(m/s),ro(g/cc)
4532.52,2464.26,2.65
4522.72,2457.27,2.65
4516.52,2454.17,2.64
4516.25,2439.93,2.64
4514.14,2438.48,2.64
4495.41,2417.90,2.64
4460.14,2402.80,2.64
4459.67,2401.66,2.64
4456.92,2396.16,2.64
4448.87,2395.09,2.65
4448.87,2395.09,2.65
4448.87,2395.09,2.64
4445.46,2389.82,2.64
4439.12,2381.24,2.64
4437.50,2380.02,2.64
4437.50,2373.32,2.64
4437.50,2365.42,2.64
4437.50,2344.66,2.64
4427.81,2338.63,2.64
4419.67,2335.85,2.64
4378.04,2319.77,2.64
4363.37,2309.76,2.64
4356.46,2281.92,2.64
4329.77,2270.09,2.64
4329.77,2270.09,2.64
4329.77,2270.09,2.64
4329.77,2270.09,2.63
4329.77,2270.09,2.62
4329.77,2270.09,2.62
4329.77,2270.09,2.62
4329.77,2281.92,2.62
4329.77,2281.92,2.62
4329.77,2281.92,2.62
4329.77,2281.92,2.62
4329.77,2281.92,2.62
4329.77,2281.92,2.62
4329.77,2281.92,2.62
4279.20,2281.92,2.62
4226.21,2281.92,2.61
4153.08,2265.92,2.61
4102.57,2230.06,2.61
4102.57,2230.06,2.61
4102.57,2230.06,2.61
4102.57,2230.06,2.61
4102.57,2230.06,2.61
4102.57,2230.06,2.61
4102.57,2230.06,2.61
4102.57,2230.06,2.61
4102.57,2230.06,2.60
4102.57,2230.06,2.60
4102.57,2230.06,2.60
4102.57,2230.06,2.60
4102.57,2230.06,2.60
4102.57,2230.06,2.60
4102.57,2230.06,2.60
4102.57,2230.06,2.60
4102.57,2230.06,2.60
4102.57,2230.06,2.60
4102.57,2230.06,2.58
4102.57,2264.59,2.58
4102.57,2264.59,2.58
4102.57,2264.59,2.58
4102.57,2264.59,2.58
4102.57,2264.59,2.58
4102.57,2264.59,2.58
4102.57,2275.83,2.58
4229.51,2319.11,2.58
4252.26,2417.41,2.58
4344.14,2434.50,2.58
4419.98,2449.79,2.58
4464.53,2467.89,2.60
4567.00,2476.30,2.60
4589.37,2476.30,2.60
4589.62,2476.30,2.60
4590.85,2476.30,2.60
4595.70,2479.91,2.60
4595.70,2479.91,2.60
4595.70,2479.91,2.60
4595.70,2479.91,2.60
4595.70,2479.91,2.61
4608.88,2479.91,2.61
4613.83,2485.01,2.61
4631.28,2493.11,2.61
4633.02,2498.34,2.61
4645.36,2503.48,2.61
4655.68,2523.19,2.61
4660.61,2525.82,2.61
4670.08,2534.93,2.61
4674.50,2541.51,2.61
4678.33,2543.22,2.61
4678.33,2550.86,2.61
4678.33,2551.20,2.61
4678.33,2572.24,2.61
4678.33,2572.24,2.61
4674.50,2551.20,2.61
4670.08,2550.86,2.61
4660.61,2543.22,2.61
4655.68,2541.51,2.61
4652.16,2534.93,2.61
4645.36,2525.82,2.61
4633.02,2523.19,2.60
4631.28,2504.64,2.60
4613.83,2503.48,2.59
4613.83,2498.34,2.59
4613.83,2498.34,2.59
4613.83,2498.34,2.60
4613.83,2498.34,2.60
4613.83,2498.34,2.60
4613.83,2498.34,2.60
4613.83,2498.34,2.61
4613.83,2498.34,2.61
4613.83,2503.48,2.62
4613.83,2504.64,2.62
4608.88,2510.09,2.61
4595.70,2510.09,2.61
4590.85,2506.45,2.61
4580.62,2504.64,2.61
4578.46,2503.48,2.61
4578.46,2503.48,2.61
4578.46,2503.48,2.61
4578.46,2503.48,2.61
4578.46,2504.64,2.61
4578.46,2506.45,2.61
4578.46,2510.09,2.61
4578.46,2530.83,2.61
4529.06,2530.83,2.61
4495.35,2530.83,2.61
4495.35,2510.09,2.61
4495.35,2510.08,2.61
4495.35,2510.08,2.61
4495.35,2510.08,2.61
4495.35,2510.08,2.61
4495.35,2510.08,2.61
4495.35,2510.08,2.61
4495.35,2510.08,2.61
4495.35,2510.08,2.61
4495.35,2510.08,2.60
4495.35,2510.08,2.61
4495.35,2510.08,2.61
4490.78,2510.08,2.61
4485.83,2506.45,2.61
4484.62,2505.78,2.61
4441.94,2504.64,2.61
4441.94,2481.81,2.61
4441.94,2472.21,2.61
4441.94,2472.21,2.61
4441.94,2472.21,2.62
4441.94,2472.21,2.62
4441.94,2472.21,2.62
4441.94,2472.21,2.62
4441.94,2472.21,2.62
4441.94,2472.21,2.62
4441.94,2472.21,2.62
4441.94,2472.21,2.62
4453.71,2472.21,2.62
4484.62,2477.13,2.62
4485.83,2481.81,2.62
4490.78,2505.78,2.62
4529.06,2506.45,2.62
4550.04,2510.08,2.61
4550.04,2510.09,2.61
4550.04,2510.09,2.61
4529.06,2510.08,2.61
4490.78,2506.45,2.61
4484.62,2505.78,2.61
4484.62,2481.81,2.61
4484.62,2481.81,2.61
4484.62,2481.81,2.61
4484.62,2481.81,2.61
4453.71,2477.13,2.61
4437.08,2471.59,2.61
4348.06,2438.70,2.61
4348.06,2438.70,2.61
4348.06,2438.70,2.61
4348.06,2438.70,2.62
4348.06,2438.70,2.62
4348.06,2438.70,2.62
4348.06,2438.70,2.62
4348.06,2438.70,2.62
4348.06,2438.70,2.62
4348.06,2438.70,2.62
4348.06,2438.70,2.62
4348.06,2438.70,2.62
4316.21,2438.70,2.62
4311.47,2420.98,2.62
4257.58,2406.28,2.63
4235.68,2397.99,2.63
4216.76,2327.10,2.63
4166.25,2321.53,2.63
4159.84,2315.42,2.63
4156.73,2279.56,2.63
4155.62,2262.80,2.63
4155.62,2242.39,2.63
4155.62,2242.39,2.63
4155.62,2242.39,2.63
4155.62,2242.39,2.62
4155.62,2242.39,2.61
4155.62,2242.39,2.61
4155.62,2242.39,2.61
4155.62,2242.39,2.61
4156.73,2262.80,2.61
4159.84,2315.42,2.61
4166.25,2321.53,2.62
4216.76,2327.10,2.63
4216.76,2355.73,2.63
4216.76,2355.73,2.63
4205.33,2327.10,2.63
4166.25,2321.53,2.63
4159.84,2262.80,2.63
4156.73,2242.44,2.63
4155.62,2242.39,2.63
4060.97,2211.68,2.63
4155.62,2211.68,2.63
4156.73,2242.39,2.64
4159.84,2242.44,2.64
4166.25,2262.80,2.64
4205.33,2321.53,2.64
4205.33,2321.53,2.64
4205.33,2321.53,2.63
4205.33,2321.53,2.63
4205.33,2321.53,2.63
4159.84,2262.80,2.63
4022.33,2242.44,2.63
4022.33,2217.45,2.62
4022.33,2217.45,2.62
4022.33,2217.45,2.61
4022.33,2217.45,2.61
4022.33,2217.45,2.61
4022.33,2217.45,2.61
4022.33,2217.45,2.61
4022.33,2217.45,2.61
4022.33,2217.45,2.60
4022.33,2217.45,2.60
4022.33,2217.45,2.60
4022.33,2217.45,2.59
4022.33,2217.45,2.59
4205.33,2217.45,2.59
4208.01,2242.44,2.58
4266.88,2310.77,2.58
4348.86,2355.73,2.58
4429.00,2364.77,2.58
4567.84,2405.69,2.58
4599.45,2444.94,2.57
4605.74,2468.74,2.57
4622.21,2489.88,2.56
4636.74,2502.37,2.56
4648.12,2506.85,2.56
4651.79,2522.72,2.56
4657.66,2526.89,2.56
4663.97,2537.38,2.56
4668.75,2545.83,2.56
4668.75,2561.40,2.56
4663.97,2561.40,2.56
4657.66,2561.40,2.56
4651.79,2545.83,2.56
4649.80,2537.38,2.56
4648.12,2531.08,2.56
4648.12,2531.08,2.55
4648.12,2531.08,2.55
4648.12,2531.08,2.55
4648.12,2531.08,2.55
4648.12,2531.08,2.55
4648.12,2531.08,2.55
4648.12,2531.08,2.55
4648.12,2531.08,2.55
4636.74,2531.08,2.55
4622.21,2531.08,2.54
4622.21,2531.08,2.54
4622.21,2537.38,2.54
4622.21,2537.78,2.54
4622.21,2545.83,2.54
4622.21,2561.40,2.54
4622.21,2569.45,2.54
4622.21,2569.45,2.53
4622.21,2569.45,2.53
4605.74,2569.45,2.53
4599.45,2569.45,2.52
4588.38,2573.67,2.51
4530.26,2582.35,2.51
4530.26,2582.35,2.52
4530.26,2582.35,2.53
4530.26,2582.35,2.53
4530.26,2582.35,2.53
4530.26,2582.35,2.53
4530.26,2582.35,2.53
4530.26,2582.35,2.53
4530.26,2581.01,2.53
4530.26,2581.01,2.53
4530.26,2581.01,2.52
4505.98,2581.01,2.51
4487.21,2582.35,2.51
4479.32,2583.28,2.52
4457.74,2587.19,2.52
4443.54,2589.02,2.53
4440.23,2590.40,2.52
4439.78,2590.40,2.52
4438.37,2590.40,2.52
4429.00,2590.40,2.52
4420.35,2590.40,2.52
4420.35,2590.40,2.52
4415.08,2590.40,2.52
4414.27,2590.40,2.51
4412.73,2590.40,2.51
4411.54,2590.40,2.51
4411.54,2590.40,2.51
4411.54,2591.50,2.50
4411.54,2606.63,2.50
4412.12,2614.96,2.50
4412.73,2629.48,2.51
4412.73,2629.48,2.51
4412.73,2629.48,2.51
4412.73,2629.48,2.51
4412.73,2629.48,2.52
4412.73,2629.48,2.52
4412.73,2629.48,2.52
4412.12,2629.48,2.52
4411.54,2629.48,2.52
4406.12,2629.48,2.52
4405.67,2629.48,2.53
4405.67,2629.48,2.53
4405.67,2629.48,2.53
4405.67,2629.48,2.53
4405.67,2629.48,2.53
4405.67,2629.48,2.53
4405.67,2629.48,2.53
4405.67,2629.48,2.54
4405.67,2629.48,2.54
4405.67,2629.48,2.56
4405.67,2629.48,2.57
4397.80,2614.96,2.59
4396.69,2614.85,2.59
4395.08,2606.63,2.60
4391.61,2591.50,2.59
4391.23,2589.02,2.59
4390.56,2581.01,2.58
4388.93,2505.11,2.58
4372.69,2386.74,2.58
4369.55,2325.91,2.59
4302.51,2319.71,2.59
4280.92,2300.10,2.62
4280.46,2282.59,2.62
4274.27,2282.42,2.62
4263.91,2276.23,2.62
4245.01,2275.91,2.62
4212.37,2261.29,2.62
4202.07,2260.24,2.63
4196.49,2255.65,2.63
4191.87,2248.36,2.63
4182.27,2244.17,2.63
4162.18,2229.24,2.63
4148.69,2228.96,2.63
4148.69,2228.96,2.64
4148.69,2228.96,2.64
4148.69,2228.96,2.64
4148.69,2228.96,2.64
4148.69,2228.96,2.64
4148.69,2228.96,2.64
4148.69,2228.96,2.64
4148.69,2228.96,2.64
4148.69,2228.96,2.64
4148.69,2228.96,2.64
4148.69,2228.96,2.64
4148.69,2228.96,2.65
4162.18,2228.96,2.65
4182.27,2229.24,2.65
4191.87,2244.17,2.65
4202.07,2255.65,2.65
4212.37,2260.24,2.65
4202.07,2260.24,2.65
4191.87,2244.17,2.65
4182.27,2229.24,2.65
4162.18,2228.96,2.65
4148.69,2221.81,2.65
4104.85,2208.18,2.64
4050.80,2189.48,2.64
4050.80,2189.48,2.64
4050.80,2189.48,2.64
4050.80,2189.48,2.64
4050.80,2189.48,2.64
4050.80,2189.48,2.64
4050.80,2189.48,2.64
4050.80,2189.48,2.64
4104.85,2189.48,2.64
4243.87,2225.97,2.64
4274.87,2321.13,2.64
4294.29,2329.68,2.64
4372.72,2357.03,2.64
4493.87,2415.97,2.64
4501.43,2483.57,2.64
4558.13,2509.35,2.64
4558.13,2510.72,2.64
4558.13,2568.08,2.63
4558.13,2600.86,2.63
4558.13,2610.16,2.63
4558.13,2612.96,2.63
4562.35,2615.02,2.63
4564.42,2627.02,2.63
4575.96,2631.66,2.63
4591.38,2634.51,2.63
4594.45,2635.43,2.63
4610.13,2637.75,2.64
4629.48,2637.94,2.64
4631.93,2638.79,2.64
4644.23,2655.24,2.64
4644.23,2670.05,2.64
4631.93,2638.79,2.64
4610.13,2637.94,2.64
4594.45,2637.75,2.64
4591.38,2635.43,2.64
4575.96,2634.51,2.62
4567.90,2631.66,2.62
4564.42,2627.02,2.62
4562.35,2615.02,2.60
4558.13,2612.96,2.60
4552.51,2610.16,2.58
4536.09,2600.86,2.58
4531.14,2574.67,2.58
4531.14,2574.67,2.58
4531.14,2574.67,2.58
4531.14,2574.67,2.58
4531.14,2574.67,2.58
4531.14,2574.67,2.58
4531.14,2574.67,2.58
4531.14,2574.67,2.58
4531.14,2574.67,2.58
4531.14,2574.67,2.58
4531.14,2574.67,2.58
4531.14,2574.67,2.58
4531.14,2574.67,2.58
4516.32,2574.67,2.58
4513.41,2574.67,2.58
4448.10,2498.51,2.58
4318.57,2404.23,2.58
4318.57,2364.26,2.58
4318.57,2364.26,2.59
4318.57,2364.26,2.59
4318.57,2364.26,2.60
4318.57,2364.26,2.60
4306.41,2364.26,2.60
4292.90,2362.32,2.60
4290.33,2346.11,2.60
4283.30,2343.73,2.60
4283.06,2335.55,2.60
4282.76,2331.83,2.60
4281.09,2316.14,2.60
4279.10,2312.77,2.60
4248.92,2310.38,2.60
4248.92,2288.61,2.62
4248.92,2288.61,2.62
4248.92,2288.61,2.62
4248.92,2288.61,2.60
4248.92,2288.61,2.60
4248.92,2288.61,2.60
4248.92,2288.61,2.59
4248.92,2288.61,2.59
4248.92,2288.61,2.58
4248.92,2288.61,2.58
4248.92,2288.61,2.58
4248.92,2288.61,2.58
4279.10,2288.61,2.58
4281.09,2310.38,2.58
4282.76,2312.77,2.59
4283.06,2316.14,2.59
4283.30,2335.55,2.60
4290.33,2343.73,2.60
4292.90,2346.11,2.60
4306.41,2346.11,2.60
4353.95,2346.11,2.62
4361.61,2372.51,2.60
4422.50,2374.88,2.60
4422.78,2402.79,2.60
4438.81,2409.23,2.60
4470.92,2436.17,2.60
4557.30,2439.17,2.60
4557.30,2456.91,2.60
4557.30,2549.34,2.60
4557.30,2575.64,2.60
4557.30,2575.64,2.60
4557.30,2575.64,2.58
4557.30,2575.64,2.57
4557.30,2575.64,2.57
4557.30,2604.01,2.56
4557.30,2618.67,2.56
4557.30,2629.25,2.56
4557.30,2637.48,2.54
4557.30,2637.48,2.54
4557.30,2637.48,2.54
4557.30,2637.48,2.54
4557.30,2637.48,2.54
4557.30,2637.48,2.54
4557.30,2637.48,2.54
4557.30,2637.48,2.56
4557.30,2637.48,2.56
4557.30,2637.48,2.57
4557.30,2637.48,2.58
4557.30,2637.48,2.58
4557.30,2637.48,2.58
4557.30,2637.48,2.56
4557.30,2637.48,2.56
4549.93,2637.48,2.54
4537.93,2637.48,2.54
4510.86,2637.48,2.54
4502.79,2637.48,2.54
4494.62,2624.84,2.56
4481.54,2618.67,2.57
4473.07,2604.01,2.58
4458.74,2575.64,2.58
4456.98,2561.41,2.58
4456.98,2553.03,2.58
4456.98,2541.08,2.57
4456.98,2541.08,2.57
4456.98,2541.08,2.56
4449.15,2541.08,2.56
4445.82,2537.72,2.56
4439.87,2535.41,2.55
4404.33,2529.38,2.54
4361.36,2508.28,2.54
4346.74,2435.31,2.54
4346.74,2410.58,2.54
4346.74,2410.58,2.54
4346.74,2410.58,2.54
4346.74,2410.58,2.55
4346.74,2410.58,2.56
4346.74,2410.58,2.56
4346.74,2410.58,2.57
4346.74,2410.58,2.57
4346.74,2410.58,2.58
4346.74,2410.58,2.58
4346.74,2401.10,2.59
4346.74,2394.93,2.59
4346.74,2394.93,2.59
4346.74,2394.93,2.59
4346.74,2394.93,2.59
4346.74,2394.93,2.59
4346.74,2394.93,2.60
4346.74,2394.93,2.60
4346.74,2394.93,2.61
4361.36,2394.93,2.61
