vp(m/s),vs(m/s),ro(g/cc)
4356.71,2328.99,2.53
4324.58,2328.99,2.53
4319.81,2328.99,2.52
4284.90,2328.99,2.52
4282.85,2333.98,2.52
4273.93,2335.62,2.52
4270.93,2335.62,2.52
4270.93,2335.62,2.52
4270.93,2334.59,2.52
4270.93,2328.99,2.52
4270.93,2326.97,2.52
4270.93,2325.07,2.52
4270.93,2321.83,2.52
4267.42,2320.56,2.52
4260.34,2319.81,2.51
4253.13,2316.27,2.51
4246.49,2313.47,2.51
4246.49,2313.07,2.51
4246.49,2313.07,2.51
4246.49,2313.07,2.51
4249.81,2313.07,2.51
4249.81,2313.07,2.51
4246.19,2313.07,2.51
4242.38,2313.07,2.51
4242.38,2313.07,2.51
4242.38,2313.07,2.51
4242.38,2313.07,2.51
4240.37,2313.07,2.51
4238.72,2313.07,2.51
4237.38,2313.07,2.51
4236.54,2313.07,2.51
4236.35,2313.47,2.51
4236.32,2313.57,2.51
4235.91,2315.92,2.51
4235.91,2316.27,2.51
4235.91,2316.73,2.51
4235.91,2319.35,2.51
4235.91,2319.81,2.51
4235.91,2320.51,2.51
4235.91,2320.56,2.51
4232.84,2321.43,2.51
4232.72,2321.68,2.50
4231.56,2321.68,2.50
4229.00,2321.68,2.50
4229.00,2321.68,2.50
4229.00,2321.68,2.50
4229.00,2321.68,2.50
4229.00,2321.68,2.50
4229.00,2321.68,2.50
4229.00,2321.68,2.50
4231.56,2321.77,2.50
4232.72,2321.83,2.50
4235.91,2323.66,2.50
4235.91,2325.07,2.50
4235.91,2325.07,2.50
4235.91,2325.07,2.50
4231.56,2325.07,2.50
4228.52,2325.07,2.50
4228.49,2325.07,2.49
4228.49,2325.07,2.49
4228.49,2326.11,2.49
4228.49,2331.79,2.49
4228.49,2332.55,2.49
4227.62,2332.55,2.49
4226.25,2332.55,2.50
4224.95,2332.55,2.50
4221.89,2332.55,2.50
4219.40,2332.55,2.50
4217.16,2332.55,2.50
4213.33,2332.55,2.50
4213.14,2332.55,2.50
4213.14,2332.55,2.50
4213.14,2332.55,2.50
4213.14,2332.55,2.50
4213.14,2332.96,2.50
4213.14,2332.96,2.50
4213.14,2332.96,2.50
4213.14,2332.96,2.50
4213.14,2332.96,2.50
4213.14,2332.96,2.50
4213.33,2333.17,2.50
4217.16,2333.17,2.51
4217.16,2333.17,2.51
4217.16,2333.17,2.51
4217.16,2333.17,2.51
4205.57,2331.79,2.50
4205.57,2321.77,2.50
4205.57,2319.31,2.51
4205.57,2319.31,2.52
4205.57,2319.31,2.53
4205.57,2319.31,2.54
4219.40,2309.24,2.54
4219.40,2290.02,2.54
4219.40,2285.00,2.54
4219.40,2283.77,2.55
4219.40,2285.00,2.55
4224.68,2296.19,2.56
4235.95,2319.31,2.56
4244.71,2356.75,2.56
4250.22,2362.18,2.56
4254.25,2384.12,2.56
4254.25,2398.39,2.56
4254.25,2398.39,2.56
4254.25,2398.39,2.56
4254.25,2398.39,2.56
4282.51,2398.39,2.56
4291.42,2398.39,2.56
4291.42,2392.91,2.57
4291.42,2362.18,2.57
4291.42,2356.75,2.57
4291.42,2296.19,2.57
4282.51,2283.77,2.58
4254.25,2283.52,2.58
4254.25,2283.52,2.58
4318.21,2283.52,2.58
4389.12,2296.19,2.59
4399.51,2356.75,2.59
4449.74,2362.18,2.59
4463.45,2392.91,2.59
4479.45,2393.82,2.59
4489.91,2398.39,2.59
4520.27,2409.96,2.59
4521.78,2455.73,2.59
4524.94,2458.97,2.59
4529.87,2481.56,2.59
4524.94,2481.56,2.59
4521.78,2481.56,2.59
4520.27,2481.56,2.59
4479.45,2455.73,2.59
4463.45,2398.39,2.59
4449.74,2393.82,2.59
4399.51,2392.91,2.59
4318.21,2392.91,2.59
4318.21,2392.91,2.59
4318.21,2392.91,2.59
4318.21,2392.91,2.59
4318.21,2392.91,2.59
4318.21,2392.91,2.59
4318.21,2393.82,2.59
4318.21,2393.82,2.58
4318.21,2393.82,2.58
4318.21,2398.39,2.58
4409.58,2398.39,2.58
